Designator,Mid X,Mid Y,Rotation,Layer
C1,150.494141,-142.653202,270.0,bottom
C2,160.019149,-142.653202,90.0,bottom
C3,148.708202,-136.700072,90.0,bottom
C4,151.684767,-131.342255,270.0,bottom
C5,154.661332,-131.342255,270.0,bottom
C6,145.731637,-131.342255,270.0,bottom
C7,148.708202,-131.342255,270.0,bottom
C8,164.781653,-145.034454,0.0,bottom
D1,58.220626,-58.118756,270.0,bottom
D10,229.67077,-58.118756,270.0,bottom
D11,248.720786,-58.118756,270.0,bottom
D12,267.770802,-58.118756,270.0,bottom
D13,287.416131,-58.118756,270.0,bottom
D14,305.870834,-58.118756,270.0,bottom
D15,58.220626,-76.811581,270.0,bottom
D16,86.79565,-76.811581,270.0,bottom
D17,105.845666,-76.811581,270.0,bottom
D18,124.895682,-76.811581,270.0,bottom
D19,143.945698,-76.811581,270.0,bottom
D2,77.270642,-58.118756,270.0,bottom
D20,162.995714,-76.811581,270.0,bottom
D21,182.04573,-76.811581,270.0,bottom
D22,201.095746,-76.811581,270.0,bottom
D23,220.145762,-76.811581,270.0,bottom
D24,239.195778,-76.811581,270.0,bottom
D25,258.245794,-76.811581,270.0,bottom
D26,277.29581,-76.811581,270.0,bottom
D27,296.345826,-76.811581,270.0,bottom
D28,314.5352,-77.01,270.0,bottom
D29,58.220626,-95.861597,270.0,bottom
D3,96.320658,-58.118756,270.0,bottom
D30,91.558154,-95.861597,270.0,bottom
D31,110.60817,-95.861597,270.0,bottom
D32,129.658186,-95.861597,270.0,bottom
D33,148.708202,-95.861597,270.0,bottom
D34,167.758218,-95.861597,270.0,bottom
D35,186.808234,-95.861597,270.0,bottom
D36,205.85825,-95.861597,270.0,bottom
D37,224.908266,-95.861597,270.0,bottom
D38,243.958282,-95.861597,270.0,bottom
D39,263.008298,-95.861597,270.0,bottom
D4,115.370674,-58.118756,270.0,bottom
D40,282.058314,-95.861597,270.0,bottom
D41,301.10833,-95.861597,270.0,bottom
D42,58.220626,-114.911613,270.0,bottom
D43,96.320658,-114.911613,270.0,bottom
D44,115.370674,-114.911613,270.0,bottom
D45,134.42069,-114.911613,270.0,bottom
D46,153.470706,-114.911613,270.0,bottom
D47,172.520722,-114.911613,270.0,bottom
D48,191.570738,-114.911613,270.0,bottom
D49,210.620754,-114.911613,270.0,bottom
D5,134.42069,-58.118756,270.0,bottom
D50,229.67077,-114.911613,270.0,bottom
D51,248.720786,-114.911613,270.0,bottom
D52,267.770802,-114.911613,270.0,bottom
D53,286.820818,-114.911613,270.0,bottom
D54,305.870834,-114.911613,270.0,bottom
D55,58.220626,-133.961629,270.0,bottom
D56,82.033146,-133.961629,270.0,bottom
D57,105.845666,-133.961629,270.0,bottom
D58,129.658186,-133.961629,270.0,bottom
D59,248.720786,-133.961629,270.0,bottom
D6,153.470706,-58.118756,270.0,bottom
D60,267.770802,-133.961629,270.0,bottom
D61,286.820818,-133.961629,270.0,bottom
D62,305.870834,-133.961629,270.0,bottom
D63,324.92085,-133.961629,270.0,bottom
D7,172.520722,-58.118756,270.0,bottom
D8,191.570738,-58.118756,270.0,bottom
D9,210.620754,-58.118756,270.0,bottom
J1,76.0616,-45.4172,180.0,top
J2,220.253579,-141.607889,180.0,top
LED1,66.57375,-54.546875,270.0,top
LED10,238.005,-54.546875,270.0,top
LED11,257.055,-54.546875,270.0,top
LED12,276.105,-54.546875,270.0,top
